Track Name,Artist Name(s),Album Name,Album Release Date,Album Image URL,Track Preview URL,Popularity
vampire,Olivia Rodrigo,vampire,2023-06-30,https://i.scdn.co/image/ab67616d0000b2731e5e75dc1d878a0007cb6525,https://p.scdn.co/mp3-preview/f0e20e86946a0f01d0352ce0371faff987455d73?cid=9950ac751e34487dbbe027c4fd7f8e99,98
Blank Space,Taylor Swift,1989 (Deluxe),2014-01-01,https://i.scdn.co/image/ab67616d0000b27352b2a3824413eefe9e33817a,https://p.scdn.co/mp3-preview/a4930adb3f973bf4b162940844b8ccc46277dc16?cid=9950ac751e34487dbbe027c4fd7f8e99,92
Fast Car,Luke Combs,Gettin' Old,2023-03-24,https://i.scdn.co/image/ab67616d0000b273ca650d3a95022e0490434ba1,https://p.scdn.co/mp3-preview/1dc0426c95058783e0fe1d70c41583ca98317108?cid=9950ac751e34487dbbe027c4fd7f8e99,92
Payphone,"Maroon 5, Wiz Khalifa",Overexposed Track By Track,2012-01-01,https://i.scdn.co/image/ab67616d0000b273fc8633e22a7dba6aab817bff,https://p.scdn.co/mp3-preview/3fa424cf3b47431d48b7a12368ce0eeb134fc03f?cid=9950ac751e34487dbbe027c4fd7f8e99,87
Unwritten,Natasha Bedingfield,Unwritten,2004-08-30,https://i.scdn.co/image/ab67616d0000b273b337e1ca6629a53c66a3b0d4,https://p.scdn.co/mp3-preview/5559460cc3e2c5aa1eeea1c16cf838cecde326d8?cid=9950ac751e34487dbbe027c4fd7f8e99,81
I'm Good (Blue),"David Guetta, Bebe Rexha",I'm Good (Blue),2022-08-26,https://i.scdn.co/image/ab67616d0000b273933c036cd61cd40d3f17a9c4,https://p.scdn.co/mp3-preview/c1de960c1a98f7ab652331e5223c50baba75c460?cid=9950ac751e34487dbbe027c4fd7f8e99,95
Miss You,"Oliver Tree, Robin Schulz",Miss You,2022-08-05,https://i.scdn.co/image/ab67616d0000b2735b1bff1152ef6d402c9b75a8,https://p.scdn.co/mp3-preview/44c504a7bb97d3ee67be1003326e5362044dce34?cid=9950ac751e34487dbbe027c4fd7f8e99,87
Yellow,Coldplay,Parachutes,2000-07-10,https://i.scdn.co/image/ab67616d0000b2733d92b2ad5af9fbc8637425f0,https://p.scdn.co/mp3-preview/c0d9119dc69cae75baf6463e21e43f433fdf5ff4?cid=9950ac751e34487dbbe027c4fd7f8e99,93
Pompeii,Bastille,Bad Blood,2013-01-01,https://i.scdn.co/image/ab67616d0000b273b89cf022db28fa31376e0ed8,https://p.scdn.co/mp3-preview/18da10d3596cdce4434dbeebf94fc75790217d50?cid=9950ac751e34487dbbe027c4fd7f8e99,80
In the End,Linkin Park,Hybrid Theory (Bonus Edition),2000-10-24,https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a,https://p.scdn.co/mp3-preview/b5ee275ca337899f762b1c1883c11e24a04075b0?cid=9950ac751e34487dbbe027c4fd7f8e99,89
The Less I Know The Better,Tame Impala,Currents,2015-07-17,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79,https://p.scdn.co/mp3-preview/3ad63797e17bda6d46d081049c8c3710e3ab2797?cid=9950ac751e34487dbbe027c4fd7f8e99,88
Watermelon Sugar,Harry Styles,Fine Line,2019-12-13,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,https://p.scdn.co/mp3-preview/824cd58da2e9a15eeaaa6746becc09093547a09b?cid=9950ac751e34487dbbe027c4fd7f8e99,92
Starboy,"The Weeknd, Daft Punk",Starboy,2016-11-25,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,https://p.scdn.co/mp3-preview/57c1238d183c40da3157c2892346f58445b1377c?cid=9950ac751e34487dbbe027c4fd7f8e99,94
Hard Times,Paramore,After Laughter,2017-05-12,https://i.scdn.co/image/ab67616d0000b273dbd83e179619408e5d05cc99,https://p.scdn.co/mp3-preview/eb046d4ef05b36f6509b1e764ff2919b22c2baed?cid=9950ac751e34487dbbe027c4fd7f8e99,77
Ride,Twenty One Pilots,Blurryface,2015-05-15,https://i.scdn.co/image/ab67616d0000b273de03bfc2991fd5bcfde65ba3,https://p.scdn.co/mp3-preview/b571ceecaadc03941bdf4e683ea26e4e6d3f7c17?cid=9950ac751e34487dbbe027c4fd7f8e99,86
Little Talks,Of Monsters and Men,My Head Is An Animal,2012-01-01,https://i.scdn.co/image/ab67616d0000b273cb3f67e8026e2e493a1e8262,https://p.scdn.co/mp3-preview/a5dad05d521739606a83da0f00d3dc48344c6d77?cid=9950ac751e34487dbbe027c4fd7f8e99,83
The Less I Know The Better,Tame Impala,Currents,2015-07-17,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79,https://p.scdn.co/mp3-preview/3ad63797e17bda6d46d081049c8c3710e3ab2797?cid=9950ac751e34487dbbe027c4fd7f8e99,88
Cupid - Twin Ver.,FIFTY FIFTY,The Beginning: Cupid,2023-02-24,https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb,https://p.scdn.co/mp3-preview/af5c16d4c69be9b3278e7079d5aab14aa425127b?cid=9950ac751e34487dbbe027c4fd7f8e99,97
This Girl (Kungs Vs. Cookin' On 3 Burners),"Kungs, Cookin' On 3 Burners",Layers,2016-11-04,https://i.scdn.co/image/ab67616d0000b273af72d0856c5527dc97f3ea08,https://p.scdn.co/mp3-preview/32a9ff870d3eef0d57d62c6df25d3aab50d149b0?cid=9950ac751e34487dbbe027c4fd7f8e99,82
Tongue Tied,GROUPLOVE,Never Trust a Happy Song,2011-09-02,https://i.scdn.co/image/ab67616d0000b273d84a9bbcba91cb6a4a212b1b,https://p.scdn.co/mp3-preview/6082516f3c05520cc2cf8cecd17e4ce8667c459e?cid=9950ac751e34487dbbe027c4fd7f8e99,82
Electric Feel,MGMT,Oracular Spectacular,2007-12-14,https://i.scdn.co/image/ab67616d0000b2738b32b139981e79f2ebe005eb,https://p.scdn.co/mp3-preview/b288d1b3245bfa82243267c77fe152dbd696f3c8?cid=9950ac751e34487dbbe027c4fd7f8e99,81
